A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4,Move
4,256,32,8,8,4,8,8,0,0,4,32,0,0,0,0,Down
0,0,0,0,4,0,32,0,4,256,8,16,8,4,4,32,Up
8,256,32,16,8,4,8,32,0,4,4,0,0,0,0,0,Up
16,256,32,16,0,8,8,32,0,0,4,0,0,0,4,0,Left
16,256,32,16,16,32,0,4,4,0,0,0,4,0,0,0,Up
32,256,32,16,8,32,4,4,0,0,0,0,0,0,0,0,Right
32,256,32,16,0,8,32,8,0,0,0,0,0,0,4,0,Down
0,4,0,0,0,0,0,0,0,256,64,16,32,8,4,8,Down
4,0,0,0,0,4,0,0,0,256,64,16,32,8,4,8,Down
0,0,0,0,0,4,4,0,4,256,64,16,32,8,4,8,Left
0,0,0,0,8,0,4,0,4,256,64,16,32,8,4,8,Up
8,256,4,16,4,8,64,8,32,0,4,0,4,0,0,0,Left
8,256,4,16,4,8,64,8,32,4,0,4,4,0,0,0,Right
8,256,4,16,4,8,64,8,0,0,32,8,4,0,0,4,Down
0,4,0,0,0,0,4,16,8,256,64,16,8,8,32,4,Right
0,0,0,4,0,4,4,16,8,256,64,16,0,16,32,4,Up
8,4,4,4,0,256,64,32,4,16,32,4,0,0,0,0,Left
8,8,4,0,256,64,32,4,4,16,32,4,0,0,0,0,Left
16,4,0,0,256,64,32,4,4,16,32,4,0,0,4,0,Left
16,4,0,4,256,64,32,4,4,16,32,4,4,0,0,0,Down
4,0,0,0,16,4,0,0,256,64,0,4,8,16,64,8,Left
4,0,0,0,16,4,4,0,256,64,4,0,8,16,64,8,Down
4,0,0,0,16,4,0,4,256,64,8,0,8,16,64,8,Right
0,0,0,4,4,0,16,8,0,256,64,8,8,16,64,8,Up
4,256,16,4,8,16,128,16,0,4,0,8,0,0,0,0,Right
4,256,16,4,8,16,128,16,0,0,4,8,0,0,0,4,Down
0,4,0,4,0,0,16,16,4,256,128,8,8,16,4,4,Left
8,0,0,4,32,0,0,0,4,256,128,8,8,16,8,0,Up
8,256,128,4,32,16,8,8,4,0,0,0,8,4,0,0,Down
8,0,0,4,32,256,0,0,4,16,128,4,8,4,8,8,Right
0,4,8,4,0,0,32,256,4,16,128,4,0,8,4,16,Left
4,8,4,0,32,256,0,4,4,16,128,4,8,4,16,0,Up
4,8,4,8,32,256,128,0,4,16,16,4,8,4,0,0,Up
4,8,4,8,32,256,128,4,4,16,16,4,8,4,0,0,Right
4,8,4,8,32,256,128,4,0,4,32,4,4,0,8,4,Left
4,8,4,8,32,256,128,4,4,32,4,0,4,8,4,4,Right
4,8,4,8,32,256,128,4,0,4,32,4,4,4,8,8,Right
4,8,4,8,32,256,128,4,4,4,32,4,0,0,8,16,Right
