A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4,Move
64,128,8,4,512,64,0,8,64,8,4,0,0,4,0,0,Down
0,128,0,0,64,64,4,0,512,8,8,4,64,4,4,8,Up
64,128,4,4,512,64,8,8,64,8,4,0,0,4,4,0,Up
64,128,4,4,512,64,8,8,64,8,8,0,4,4,0,0,Left
64,128,8,0,512,64,16,0,64,16,0,0,8,0,4,0,Down
64,0,4,0,512,128,8,0,64,64,16,0,8,16,4,0,Right
4,0,64,4,0,512,128,8,0,0,128,16,0,8,16,4,Up
4,512,64,4,0,8,256,8,4,0,16,16,0,0,0,4,Down
0,0,0,4,0,4,64,8,0,512,256,16,8,8,16,4,Left
4,0,0,0,4,64,8,0,512,256,16,0,16,16,4,4,Down
0,0,0,0,8,64,8,4,512,256,16,0,16,16,4,4,Down
0,0,0,0,8,64,8,4,512,256,16,0,16,16,4,8,Down
4,0,0,0,8,64,8,0,512,256,16,4,16,16,4,8,Left
4,0,0,0,8,64,8,4,512,256,16,4,32,4,8,0,Right
0,0,4,4,8,64,8,4,512,256,16,4,0,32,4,8,Up
8,64,4,8,512,256,8,4,0,32,16,8,0,0,4,4,Down
0,4,4,8,0,64,8,4,8,256,16,8,512,32,4,4,Right
0,0,8,8,4,64,8,4,8,256,16,8,0,512,32,8,Left
16,0,4,0,4,64,8,4,8,256,16,8,512,32,8,0,Up
16,64,4,4,4,256,8,8,8,32,16,4,512,0,8,0,Left
16,64,8,0,4,256,16,4,8,32,16,4,512,8,0,0,Down
16,64,4,0,4,256,0,0,8,32,8,0,512,8,32,8,Right
0,16,64,4,4,0,4,256,0,8,32,8,512,8,32,8,Right
0,16,64,4,4,0,8,256,0,8,32,8,512,8,32,8,Up
4,16,64,4,512,16,8,256,0,0,64,16,4,0,0,0,Down
0,0,0,0,4,0,64,4,512,4,8,256,4,32,64,16,Up
4,4,64,4,512,32,8,256,4,0,64,16,4,0,0,0,Up
4,4,64,4,512,32,8,256,8,0,64,16,0,0,0,4,Down
0,0,4,4,4,0,64,256,512,4,8,16,8,32,64,4,Up
4,4,4,4,512,32,64,256,8,4,8,16,0,0,64,4,Right
0,0,8,8,512,32,64,256,8,4,8,16,0,4,64,4,Up
512,32,8,8,8,8,64,256,0,4,8,16,0,0,64,4,Down
4,0,8,8,0,32,64,256,512,8,8,16,8,4,64,4,Down
0,4,8,8,4,32,64,256,512,8,8,16,8,4,64,4,Right
0,4,4,16,4,32,64,256,0,512,16,16,8,4,64,4,Left
8,16,0,4,4,32,64,256,512,32,0,0,8,4,64,4,Left
8,16,4,0,4,32,64,256,512,32,0,4,8,4,64,4,Down
8,0,4,0,4,16,0,0,512,64,4,256,8,4,128,8,Right
0,0,8,4,0,4,4,16,512,64,4,256,8,4,128,8,Down
0,0,0,4,4,4,8,16,512,64,8,256,8,4,128,8,Up
4,4,16,4,512,64,128,16,8,4,0,256,4,0,0,8,Right
4,8,16,4,512,64,128,16,0,8,4,256,0,0,4,8,Up
4,8,16,4,512,64,128,16,0,8,8,256,0,4,0,8,Down
4,8,0,4,0,64,16,16,4,8,128,256,512,4,8,8,Left
4,8,4,0,64,32,4,0,4,8,128,256,512,4,16,0,Down
4,8,4,0,64,32,8,0,4,8,128,0,512,4,16,256,Right
0,4,8,4,4,64,32,8,0,4,8,128,512,4,16,256,Down
0,4,8,4,0,4,32,8,4,64,8,128,512,8,16,256,Left
4,8,4,0,4,32,8,4,4,64,8,128,512,8,16,256,Down
0,8,0,4,4,32,4,4,8,64,16,128,512,8,16,256,Up
4,8,4,8,8,32,32,128,512,64,0,256,0,8,0,4,Left
4,8,4,8,8,64,128,0,512,64,256,0,8,4,0,4,Up
4,8,4,8,8,128,128,4,512,4,256,0,8,0,0,4,Left
4,8,4,8,8,256,4,0,512,4,256,0,8,4,0,4,Left
4,8,4,8,8,256,4,4,512,4,256,0,8,8,0,0,Left
4,8,4,8,8,256,8,0,512,4,256,0,16,4,0,0,Right
4,8,4,8,0,8,256,8,4,512,4,256,0,0,16,4,Up
8,16,4,16,4,512,256,256,0,0,4,4,0,0,16,0,Left
8,16,4,16,4,512,512,0,8,4,0,0,16,0,0,0,Left
